직무,질문,답변
프론트엔드,TDD란 무엇인가요?,"TDD(Test-Driven Development)는 테스트 주도 개발 방법론의 준말로, 개발자가 코드를 작성하기 전에 먼저 테스트 케이스를 작성하고 이를 통과시키는 것을 중심으로 개발을 진행하는 방법입니다. TDD는 코드 품질을 향상시키고 버그를 미리 발견하여 개선하는 데 도움이 됩니다. 또한, 코드 변경 시 이전에 작성된 테스트 케이스를 수행하여 기존 코드의 영향을 미치는 부분을 파악하고, 안정적인 코드 개발에 도움을 줍니다."
프론트엔드,Static Site Generator에 대해서 아시나요?,"Static Site Generator(SSG)는 정적인 HTML, CSS, JavaScript 파일을 생성하는 소프트웨어입니다. SSG를 사용하면 동적인 서버 측 프로그래밍 없이 정적인 웹 페이지를 생성할 수 있습니다. 이에 대한 몇 가지 장점은 다음과 같습니다. 정적인 파일을 생성하기 때문에, 웹 서버의 보안에 대한 걱정이 줄어듭니다. 정적인 파일은 웹 브라우저에 의해 더 빠르게 다운로드됩니다. 따라서 로딩 속도가 향상되며 사용자 경험이 좋아집니다. GatsbyJS, Next.js, Hugo, Jekyll 등과 같은 플랫폼들이 있습니다."
프론트엔드,Flex와 Grid의 차이점에 대해서 설명해주세요.,"Flex는 주로 단일 축 방향의 레이아웃을 구성하는 데 사용되며, 주로 수평 방향으로 레이아웃을 정렬합니다. Grid는 2차원 그리드 시스템을 구성하는 데 사용되며, 수평과 수직 방향으로 모두 레이아웃을 정렬할 수 있습니다. Flex는 아이템들의 크기가 자유로워 유동적으로 변할 수 있습니다. 반면에 Grid는 아이템들의 크기를 미리 정의하여 각 셀의 크기를 일정하게 유지합니다. Flex는 유동적인 레이아웃 변화를 구성하기 적합합니다. 반면에 Grid는 미리 정의된 2차원 그리드 구조를 유지하기 때문에 레이아웃 변화가 적은 경우에 적합합니다."
프론트엔드,MVVM패턴과 Flux패턴의 차이점에 대해서 설명해주세요.,"MVVM은 데이터 바인딩을 사용하여 View와 ViewModel 간에 양방향 데이터 흐름을 유지합니다. 반면 Flux는 단방향 데이터 흐름을 사용하여 Action -> Dispatcher -> Store -> View의 방향으로 데이터가 흐릅니다. MVVM에서는 ViewModel이 Model의 역할을 수행하고, View와 ViewModel 사이에서 데이터를 중개합니다. 반면 Flux에서는 Store가 애플리케이션의 데이터와 비즈니스 로직을 담당하고, Dispatcher를 통해 Action을 처리합니다. Flux는 단방향 데이터 흐름과 단일 책임 원칙을 따르므로 테스트하기 쉬운 코드를 작성하기 쉽습니다. MVVM에서는 ViewModel과 View 간의 양방향 데이터 바인딩 때문에 테스트하기가 어려울 수 있습니다. MVVM은 Angular, Vue.js 등의 프레임워크에서 사용되며, Flux는 React에서 주로 사용됩니다."
프론트엔드,비동기 함수에 대해서 설명해주세요.,"비동기 함수(Asynchronous function)는 함수의 실행 결과가 즉시 반환되지 않고, 특정 조건이 충족될 때까지 기다리는 함수입니다. 비동기 함수는 일반적으로 콜백 함수나 Promise 객체를 반환합니다. 콜백 함수는 비동기 작업이 완료되었을 때 호출되는 함수이며, Promise 객체는 비동기 작업이 성공적으로 완료되었는지 또는 실패했는지를 나타내는 객체입니다. 비동기 함수는 애플리케이션의 성능을 향상시키고, 사용자 인터페이스의 반응성을 유지하는 데 유용합니다. 그러나 비동기 함수를 사용할 때는 콜백 지옥과 같은 문제를 피하기 위해 적절한 에러 처리와 코드 구성이 필요합니다. 여러개의 비동기 함수가 실행되면, 이벤트 루프는 비동기 함수 호출을 처리하고, 비동기 함수가 완료되었을 때 콜백 함수를 호출합니다. 이벤트 루프는 실행 대기 중인 비동기 함수가 있으면 해당 함수를 호출하고, 실행이 완료될 때까지 다음 비동기 함수를 호출합니다. 따라서, 여러 개의 비동기 함수가 실행될 때 이들 함수는 동시에 실행되며, 이벤트 루프에 의해 비동기 함수의 실행 순서가 제어됩니다."
백엔드,HTTP METHOD에 대해 설명해주세요.,"HTTP METHOD에는 get, post, put, delete 가 있습니다. get은 클라이언트에서 서버로 어떠한 리소스로부터 정보를 요청하기 위해 사용되는 method입니다. 즉, 서버에서 어떤 데이터를 가져와서 보여줄 때, 값이나 내용, 상태 등을 바꾸지 않는 경우에 사용합니다. post는 리소스를 생성/ 업데이트하기 위해 서버에 데이터를 보내는 데 사용되는 method입니다. 서버상의 데이터 값이나 상태를 바꾸기 위해서 사용합니다. 주요 차이점으로는, get 요청은 캐시가 되나, post는 캐시 되지 않습니다. get은 브라우저에 기록되지만 post는 기록되지 않습니다."
백엔드,프로세스와 스레드의 차이에 대해 설명해주세요.,"프로세스는 자원을 할당받는 작업의 단위이며, 스레드는 프로세스가 할당받은 자원을 이용하는 실행의 단위. 스레드는 자원을 공유한다는 점이 차이점이 있습니다."
백엔드,RDB와 NoSQL의 차이에 대해 설명해주세요.,"RDBMS는 정해진 스키마가 존재하고, NoSQL는 정해진 스키마가 없다는 것이 가장 큰 차이입니다. NoSQL은 정해진 스키마가 없을 때 데이터 구조 변화가 자유롭고 데이터 분산이 용이하다는 장점이 있지만, 데이터 중복이 발생하거나 데이터 변경 시에 연산이 오래 걸린다는 단점이 있습니다."
백엔드,DB에서 인덱스를 잘 사용하면 어떤 장점이 있을까요?,"DB의 인덱스를 잘 사용하는 것은 데이터를 검색하는 시점에 성능 차이에 큰 영향을 미칩니다. 대용량 데이터를 담고 있는 DB 테이블에서 필요한 데이터를 빨리 찾기 위해 인덱스가 필요합니다. 인덱스가 없거나 적절한 인덱스를 찾지 못할 경우 데이터가 담겨있는 테이블 전체를 읽어야 하기에 데이터 조회 시간이 오래 걸립니다. 인덱스는 DB 데이터의 주소를 갖고 있는 것을 의미하며, 원하는 데이터를 빠르게 찾을 수 있다는 장점을 가지고 있습니다."
백엔드,GC 가비지 컬렉션에 대해 설명해주세요.,"GC 가비지 컬렉션은 프로그래머가 동적으로 할당한 메모리 영역 중 더 이상 쓰이지 않는 가비지 영역을 찾아서 해제하는 기능을 의미합니다. 자바 메모리는 Young, Old, Perm 세 영역으로 나뉩니다. 이 중 Perm(Permanent) 영역은 거의 사용되지 않으며 Yong(Eden, Survivor), Old 2가지 영역으로 나뉘어있습니다. 객체는 처음 생성되었을 때 Yong 영역에 있다가 Old 영역으로 넘어가게 되는데, Old 영역이 꽉 찼을 때 Full GC 가 발생하게 됩니다. Full GC가 발생하면 애플리케이션에 부하가 발생하여 성능이 Full GC 발생 순간에 저하되기 때문에 GC 가비지 컬렉션을 사용합니다."
백엔드,LRU 캐시에 대해 설명해주세요.,"LRU 캐시는 Least Recently Used 캐시로 캐시 메모리가 다 차면, 가장 오랫동안 사용되지 않았던 캐시를 메모리에서 삭제하는 알고리즘입니다. 캐시 교체 알고리즘의 종류에는 FIFO (first in first out), LFU (least frequently used), LRU (least recently used)가 있습니다."
백엔드,마이크로 서비스와 모놀리틱 서비스의 차이에 대해 말해주세요.,"마이크로 서비스는 개별 서비스 단위로 개발하는 방식이고, 모놀리틱 서비스는 하나의 통합된 패키지로 개발하는 방식입니다. 마이크로 서비스는 개별 서비스 단위로 나누어져 있어 해당 부분만 수정 및 배포하기에 좋고, 필요한 부분만 확장하기에도 용이하다는 장점이 있습니다."
인공지능,딥러닝에 대해 설명해주세요.,"딥러닝은 인공 신경망(Artificial Neural Networks, ANN)을 기반으로 한 머신러닝의 한 분야입니다. 딥러닝 모델은 여러 층의 뉴런으로 구성되어 있으며, 이를 통해 복잡한 데이터에서 패턴을 학습하고 추출할 수 있습니다. 대표적인 딥러닝 모델로는 컨볼루션 신경망(CNN), 순환 신경망(RNN), 변환자(Transformer)등이 있습니다."
인공지능,딥러닝과 머신러닝의 차이점에 대해 말해주세요.,"머신러닝은 컴퓨터가 데이터를 기반으로 학습하고, 패턴을 인식하여 예측이나 분류를 수행하는 기술입니다. 딥러닝은 머신러닝의 한 분야로, 인공 신경망을 사용해 학습을 수행합니다. 딥러닝 모델은 데이터에서 복잡한 패턴을 추출할 수 있는 능력을 가지고 있어, 머신러닝 기법보다 높은 성능을 보여주는 경우가 많습니다. 따라서 딥러닝은 보다 복잡한 문제에 적합하다고 볼 수 있습니다."
인공지능,"합성곱 신경망(CNN)에 대해 설명하고, 언제 사용되는지 말해주세요.","CNN은 주로 이미지 인식과 관련된 문제를 해결하기 위한 딥러닝 구조입니다. CNN은 합성곱 계층과 풀링 계층을 사용하여 이미지의 지역적 특징을 추출하고, 이를 기반으로 이미지를 분류하거나 다른 작업을 수행합니다. CNN은 이미지 분류, 객체 탐지, 이미지 생성, 시맨틱 분할 등 다양한 이미지 처리 작업에 활용되는 신경망입니다."
인공지능,"순환 신경망(RNN)에 대해 설명하고, 언제 사용되는지 말해주세요.","RNN은 시퀀스 데이터를 처리하는 데 적합한 딥러닝 구조입니다. RNN은 내부에 순환 구조를 가지고 있어 과거의 정보를 기억하고 이를 기반으로 시퀀스의 다음 값을 예측하거나 분류하는 데 사용됩니다. RNN은 자연어 처리, 음성 인식, 시계열 데이터 분석 등에 사용되는 신경망입니다."
인공지능,"강화학습에 대해 설명하고, 어떤 문제에 적합한지 설명해주세요.","강화학습은 에이전트가 환경과 상화작용하며 보상을 최대화하는 행동을 학습하는 머신러닝 방법입니다. 강화학습은 의사결정, 로봇 제어, 자율주행 자동차, 게임 인공지능 등에 적합한 기법입니다. 강화학습은 순차적인 의사결정 문제를 해결하는 데 특히 유용합니다."
인공지능,"드롭아웃(dropout)이란 무엇이며, 왜 사용되는지 설명해주세요.","드롭아웃은 학습 과정에서 일부 뉴런을 무작위로 비활성화하는 기법입니다. 이를 통해 신경망의 과적합을 방지하고 일반화 성능을 향상시키는 데 도움이 됩니다. 드롭아웃은 각 뉴런이 독립적으로 학습되도록 강제함으로써 네트워크의 복잡도를 줄이고, 다양한 구조를 학습할 수 있게 한다는 장점이 있습니다."
인공지능,"배치 정규화(batch normalization)이란 무엇이며, 어떻게 동작하는지 설명해주세요.","배치 정규화는 학습 과정에서 각 층의 입력 분포를 정규화하여 신경망의 학습을 더 빠르게 진행시키는 기법입니다. 배치 정규화는 각 층의 입력에 대해 평균과 분산을 계산하고, 이를 이용해 정규화를 수행합니다. 이를 통해 기울기 소실 문제를 완화하고, 학습률을 높게 설정할 수 있으며, 일반화 성능도 향상됩니다."
인공지능,"전이학습(transfer learning)에 대해 설명하고, 언제 사용되는지 말해주세요.","전이학습은 이미 학습된 신경망 모델의 일부를 새로운 문제에 적용하여 빠르게 학습하는 기법입니다. 전이 학습은 특히 학습 데이터가 부족한 상황이나, 새로운 문제가 기존 문제와 유사한 특성을 가질 때 효과적입니다. 예를 들어, 사전에 학습된 이미지 분류 모델을 사용하여 새로운 카테고리의 이미지 분류 문제를 빠르게 해결할 수 있습니다."
인공지능,"어텐션 메커니즘(attention mechanism)에 대해 설명하고, 언제 사용되는지 말해주세요.","어텐션 메커니즘은 입력 데이터의 중요한 부분에 가중치를 부여하여 모델의 성능을 향상시키는 기법입니다. 기존의 시퀀스-투-시퀀스 모델에서는 입력 데이터의 정보를 고정된 길이의 벡터로 압축하는데, 이 때 중요한 정보가 손실될 수 있습니다. 어텐션 메커니즘은 이를 해결하기 위해 각 시간 단계의 정보가 가중치를 부여하여 중요한 정보를 집중적으로 활용할 수 있게 합니다. 어텐션 메커니즘은 번역, 텍스트 요약, 질문-답변 등 다양한 자연어 처리 문제에 적용 가능합니다."
클라우드,클라우드 컴퓨팅이란 무엇인가요?,"클라우드 컴퓨팅은 인터넷을 통해 서버, 스토리지, 데이터베이스, 네트워킹, 소프트웨어 등을 포함한 컴퓨팅 자원을 제공하는 서비스입니다. 이를 통해 사용자는 물리적 하드웨어 없이도 필요한 자원을 유연하게 사용할 수 있습니다."
클라우드,클라우드에서 스케일링이 중요한 이유는 무엇인가요?,"클라우드 스케일링은 애플리케이션의 수요에 따라 자원을 자동으로 증가(스케일 아웃)하거나 감소(스케일 인)시켜 비용 효율성을 높이고 성능을 최적화합니다. 이를 통해 가변적인 트래픽을 처리하고, 리소스를 낭비하지 않으면서 안정적인 서비스 제공이 가능합니다."
클라우드,클라우드에서 서버리스 컴퓨팅의 장점은 무엇인가요?,"서버리스 컴퓨팅은 인프라 관리를 완전히 추상화하여 개발자가 코드 작성에만 집중할 수 있게 합니다. 필요할 때만 자원을 사용하므로 비용 효율성이 높고, 자동으로 확장되어 트래픽 변화에 유연하게 대응할 수 있습니다. 대표적인 예로 AWS Lambda가 있습니다."
클라우드,AWS의 S3와 EBS의 차이점은 무엇인가요?,"S3는 객체 스토리지로, 데이터를 파일 단위로 저장합니다. 주로 백업, 데이터 아카이빙, 정적 웹 사이트 호스팅에 사용됩니다. EBS는 블록 스토리지로, EC2 인스턴스에 연결하여 사용합니다. 데이터베이스, 파일 시스템, 애플리케이션 데이터 저장 등에 적합합니다."
클라우드,Docker와 Kubernetes의 차이점은 무엇인가요?,"도커는 애플리케이션을 컨테이너라는 가벼운 가상 환경에서 실행할 수 있도록 지원하는 플랫폼입니다. 쿠버네티스는 컨테이너화된 애플리케이션을 자동으로 배포, 스케일링, 운영할 수 있게 해주는 오픈 소스 오케스트레이션 도구입니다."
클라우드,AWS VPC(가상 사설 클라우드)란 무엇인가요?,"AWS VPC는 사용자가 정의한 가상 네트워크에서 AWS 리소스를 실행할 수 있도록 하는 서비스입니다. 이를 통해 네트워크 설정을 사용자 요구에 맞게 구성하고, 네트워크 트래픽을 제어할 수 있습니다."
클라우드,Azure의 Resource Group이란 무엇인가요?,"Azure Resource Group은 관련된 Azure 리소스를 함께 관리할 수 있는 논리적 컨테이너입니다. 리소스 그룹을 사용하면 리소스를 그룹화하여 배포, 모니터링, 관리 등을 간편하게 수행할 수 있습니다."
클라우드,"CI/CD란 무엇이며, 클라우드 환경에서 왜 중요한가요?",애플리케이션 개발부터 배포까지 모든 단계를 자동화하여 효율적이고 빠르게 사용자에게 빈번히 배포할 수 있게 합니다. 클라우드 환경에서 CI/CD는 애플리케이션 업데이트를 빠르고 안정적으로 수행할 수 있게 하여 개발 속도와 품질을 향상시킵니다.
